"","t2_BS_C.mzML","t0_BS_C.mzML","t1_BS_C.mzML","t5_BS_C.mzML","t3_BS_3.mzML","t2_BS_2.mzML","t3_BS_C.mzML","t2_BS_1.mzML","t3_BS_2.mzML","t1_BS_1.mzML","t2_BS_3.mzML","t1_BS_3.mzML","t1_BS_2.mzML","t3_BS_1.mzML","t4_BS_C.mzML","t6_BS_C.mzML","t4_BS_2.mzML","t0_BS_3.mzML","t0_BS_2.mzML","t7_BS_C.mzML","t8_BS_C.mzML","t7_BS_2.mzML","t9_BS_C.mzML","t8_BS_1.mzML","t7_BS_3.mzML","t7_BS_1.mzML","t8_BS_2.mzML","t6_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t5_BS_3.mzML","t6_BS_2.mzML","t5_BS_1.mzML","t6_BS_3.mzML","t0_BS_1.mzML","t9_BS_1.mzML","t5_BS_2.mzML","t8_BS_3.mzML","t9_BS_3.mzML","t9_BS_2.mzML"
"46_284.049_0.292",28967.646,6016.6436,19891.79,137709.25,38654.65,123643.766,48592.7,87621.97,15638.634,43170.52,37703.92,127769.734,32267.916,54813.895,22190.75,138757.31,51104.41,3766,44377.305,23708.252,56845.74,20182.963,65317.06,57274.37,51965.527,56162.293,25147.51,57500.125,95007.84,56148.816,140709.11,57526.6,30458.354,3766,35278.086,69360.08,46725.547,69138.67,41619.816,158943.36
"95_245.095_0.52",3766,3766,3766,43263.973,68092.71,54846.29,51597.926,40212.027,68410.98,74559.234,50340.758,39515.625,56168.523,52213.004,67825.43,71027.3,57153.695,107118.5,73117.06,29759.742,43292.93,33890.67,33443.477,23509.477,26685.61,26323.795,32414.438,76708.1,58235.875,35272.36,19731.477,63450.434,15515.949,73982.305,173294.6,34425.598,45211.176,30443.559,34075.53,51332.15
"99_157.097_0.52",3766,3766,3766,4953.36,8625.011,4815.979,4152.35,3766,7641.581,6916.565,4018.839,3766,4450.422,3925.4097,8736.579,12547.31,7924.04,4724.8047,3766,6418.0977,18751.504,8676.193,15275.238,9459.946,5982.319,6020.4536,12894.266,18402.957,8915.874,3766,3766,14335.186,3766,16845.834,8836.821,15117.904,6946.1694,10768.893,14589.145,31121.896
"106_166.103_0.532",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4795.058,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7789.463,11774.105
"107_160.076_0.522",3766,3766,3766,354050.3,427649.62,312332.62,313545,209269.45,593663.9,401620.97,280762.88,210562.9,286905.66,296115.56,567389.25,775052,523318.78,235702.03,250721.6,533260.25,865996.4,700356.9,717705.3,576261.6,645107.75,549419.3,765449.94,845985.06,453438.44,275894.34,242058.36,954094.75,213120.95,814353.56,404429.66,931383.94,427234.22,666837.3,1050392.2,1309049.9
"111_169.097_0.525",3766,4054.3687,3766,637458.6,706535.7,609720.94,615655.2,468750.7,706034.3,665166.5,555426.75,450042.22,580351.9,586752.7,776639.7,869086.94,732600,689135.6,592457.5,746114.56,944350.4,755674.9,891660.4,664165.06,690748.8,647277.1,812156.3,861998.3,722705.4,517860.12,436133.4,893395.44,378563.44,886614.5,800889.44,890976.94,687120.8,804205.44,986138.44,1347099.2
"113_167.082_0.539",3766,3766,3766,97478.266,95536.01,91330.82,93970.51,64049.72,95653.836,78358.96,89769.875,88949.164,92212.31,87932.98,95536.25,98579.76,90837.36,91878.914,90827.984,109939.83,106060.664,95937.15,110969.3,96683.016,177891.75,91252.06,102320.86,87041.95,95537.94,92720.05,99677.54,89510.17,100755.79,95789.734,79124.25,102749.16,101841.76,107297.02,120170.766,162231.95
"118_166.086_0.529",3766,5476.0425,3766,290715.97,379042.6,371337.5,392505.22,389492.38,528019.9,296522.6,360454.2,287232.12,284186.4,346964.53,386560.84,431465.28,504981.56,315809.1,289555.22,646935.44,827088.75,790657.5,1216212.9,614402.2,537559.06,513239.78,761886.44,381406.53,449591.38,297196.9,299348.28,383453.38,250059.12,536466.56,394232.75,1163323.5,352745.8,1030739.44,1407056.8,2061367.5
"121_318.184_0.527",3766,3766,3766,41064.125,74873.24,59607.336,56712.805,39513.543,76976.53,95765.99,55041.586,46292.85,66008.99,58331.066,69526.8,68529.49,58181.91,149369.58,97965.42,35676.64,46343.188,37928.062,30693.146,25433.947,29134.365,29051.9,33691.547,76023.586,57982.47,34989.203,18469.883,67408.29,15495.768,68499.69,223605.94,32669.13,41644.047,30924.4,31603.72,37701.316
"125_228.121_0.536",3766,3766,3766,114152.516,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7522.3774,3766,3766,3766,3766,3766,3766,3766,3766,3766,25739.695,3766,3766,3766,3766,3766,33090.99,5685.72,3766,3766,3766,3766,3766,3766,3766
"126_176.093_0.53",3766,3766,3766,15067.458,8017.8896,16475.09,15611.735,10358.572,18514.387,16995.629,14024.732,12500.33,14891.554,16165.344,20754.479,22409.873,15473.155,14249.701,11205.268,15398.476,7814.5835,17231.451,20140.395,15595.077,16144.081,13510.308,18807.854,24531.71,8942.622,13238.398,10602.114,22973.979,7942.071,23013.49,16624.148,21349.45,14500.333,18072.086,19574.107,27866.867
"128_235.108_0.552",3766,3766,3766,72133.695,70549.87,67185.516,70654.75,69459.164,68756.766,64738.87,68000.18,67258.06,68514.29,66167.99,72834.96,53991.457,70623.81,62106.113,56992.246,75167.984,72120.4,69137.84,74937.24,70074.92,72640.59,64117.02,73565.48,67488.67,72585.37,70586.21,77003.15,50947.348,81456.18,73007.99,45249.484,71028.07,77916.04,75497.32,79178.766,101051.484
"129_205.01_0.539",3766,3766,3766,33505.97,34397.516,31994.63,33088.855,27975.719,34350.438,31414.246,31282.578,26884.436,28903.201,31194.527,36437.184,39211.258,33830.07,27075.27,20299.82,34516.023,37989.89,35486.316,31927.152,31189.463,31673.768,30734.473,35758.117,37614.477,34892.715,30231.096,29358.912,38692.22,27192.035,41772.004,25747.06,31725.729,34295.72,33725.535,34427.31,12399.536
"134_173.071_0.546",3766,3766,3766,48952.16,52963.008,48655.24,51695.207,44035.59,59154.113,50503.55,48540.535,44485.523,48274.496,49235.023,54761.19,58145.883,49854.242,44965.844,36802.137,63563.098,70179.55,61963.402,69603.6,59475.312,61309.305,56410.598,67513.76,57107.152,52021.12,45915.36,43937.96,56525.48,39616.535,63844.992,42750.406,69514.94,50852.66,64528.914,73199.65,104194.55
"137_265.118_0.547",3766,3766,3766,38872.203,40171.53,37436.145,37798.055,33134.277,40033.402,36364.777,35960.246,32684.512,35697.438,36894.28,42285.84,46732.156,39278.254,35314.42,27464.316,42641.406,48268.105,41351.047,46699.38,38846.363,40547.613,35828.97,45271.19,45100.03,40426.363,35206.04,32958.598,47098.586,31159.912,46383.723,35473.42,45535.582,41774.797,42824.9,49868.45,71059.81
"138_183.113_0.581",3766,3766,3766,26314.379,25327.762,11322.928,20130.188,15873.591,25816.592,19695.244,21291.322,20491.758,23704.799,23430.6,26773.355,27638.412,6778.362,27631.846,14245.239,26794.557,13136.244,24934.041,27636.238,10800.168,26345.33,17284.662,17951.037,25629.998,12115.486,26991.107,23842.584,25691.992,16962.936,3766,20857.26,10221.531,20221.764,19588.82,44775.395,56062.504
"139_179.079_0.543",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5721.444,3766,3766,9423.495,3766,3766,11071.411,3766,3766,3766,3766,3766,3766,3766,3766,16944.463,3766,8457.566,14678.995,25053.395
"140_221.093_0.551",3766,3766,3766,54903.133,56317.773,55236.36,54723.797,48846.258,58013.594,51360.582,52553.945,47208.355,50253.293,53516.95,60617.594,61305.1,56083.066,45490.04,36447.406,57022.016,49182.117,57479.91,59760.016,46192.44,56466.164,51394.336,60527.168,62529.027,58218.863,49444.836,47599.73,64623.867,42145.61,65943.836,45687.055,59277.105,57809.23,60236.277,64755.258,97590.28
"141_201.123_0.56",3766,3766,3766,1374716.5,1311254.2,1298106.8,1343145.4,1269569.8,1299682.4,1175560.6,1286099.1,1195682.1,1191561.6,1291443.5,1381338.9,1443493.1,1295265.2,1434758.8,1281849.5,1424862.4,1449371.5,1328025.5,1453908.8,1295535.4,1362930.5,1232982.5,1426069.1,1318416.9,1341295.2,1292844,1356285,1396862.6,1312641.9,1405849.9,1290444.1,1354796,1414273.9,1408970.5,1488333.5,2112290
"143_310.114_0.564",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,51814.73,35989.305,55190.414,3766,28032.26,52149.04,47883.105,34789.887,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,26160.193,3766,6468.8687
"146_188.128_0.607",3766,3766,3766,27584.38,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"147_206.139_0.606",3766,3766,3766,722111.44,3766,6116.8926,3766,9939.29,3766,3766,6953.936,3766,5611.8296,3766,3766,81448.58,3766,3766,3766,16444.936,25190.564,17526.828,28402.855,13945.145,3766,190805,3766,3766,73232.664,3766,33475.285,237563.83,64170.23,46290.08,35483.977,3766,5454.0527,3766,10645.099,42638.727
"150_152.071_0.632",3766,3766,3766,5621.7554,27825.164,23055.53,26598.314,24197.99,28997.203,27046.174,24863.936,25280.863,20524.035,26332.234,26719.062,22551.367,12817.076,10653.574,15689.133,46331.51,28385.012,44641.09,61569.273,43875.13,45953.74,41506.375,52272.68,19855.889,18289.861,10524.184,15500.063,23201.54,13881.676,32042.133,13479.447,60182.84,22031.285,52113.8,64830.586,89263.016
"151_245.128_0.675",321342.84,190093.88,253731.17,124650.68,116760.31,87922.62,115032.8,25658.713,102160.77,43393.73,98103.336,91825.79,85489.08,58781.684,116163.99,132487.03,112162.68,58215.59,43932.836,100317.82,116036.234,108297.38,140992.95,122349.805,112250.305,108638.45,126222.92,131963.44,114534.43,109547.484,126080.266,131048.516,127366.91,132422.27,3766,141172.38,125283.664,123406.305,170552.64,101970.305
"155_233.103_0.648",3766,3766,3766,201398.69,204063.31,202424.36,213256.81,204392.86,226695.05,191476.31,202391.52,197328.53,197318.81,202050.36,209108.78,211233.56,194290.92,164887.88,143910.81,197863.62,204064.5,187199.42,199775.86,185427.61,194104.73,176492.58,201976.28,202475.9,201035.02,195091.66,191076.47,203217.83,181328.23,225303.66,157038.9,190323.78,197727.9,200133.36,209672.14,284124.88
"158_189.102_0.683",3766,3766,3766,3766,3766,3766,6395.7847,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7123.719,19611.955,9657.612,29536.504,3766,4464.2646,8950.78,20005.158,3766,3817.2185,3766,3766,3766,3766,3766,3766,27418.11,6286.387,15768.999,34449.715,60450.87
"159_242.186_0.662",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7753.7827,3766,26093.771,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,20621.234,3766,8466.681,14841.105,56053.523
"160_167.082_0.662",3766,3766,3766,126638.99,172662.9,165592.11,124616.18,93694.484,129363.29,78745.29,116138.484,150394.17,156756.11,117102.96,179661.34,190450.1,164955.36,114755.25,150703.45,131270.5,146188.7,125674.03,153440.44,124600.664,126577.08,112882.94,138479.28,176872.67,126609.945,110964.83,112415.92,184255.16,102081.33,194199.62,148560.95,198417.47,174860.58,109616.63,167328.03,312791.62
"161_292.121_0.679",171629.44,3766,51554.344,25252.191,61763.895,45517.52,190522.36,3766,58358.477,3766,37918.297,45496.527,17575.598,17304.002,159490.39,184460.56,59824.895,3766,3766,137843.19,160072.55,58217.633,165913.95,19084.35,66111.234,20198.79,66827.94,25984.71,63492.37,3859.8364,60055.17,66635.47,11417.781,76495.2,3766,21791.076,61362.71,71745.07,105901.62,72363.91
"162_155.081_0.692",3766,3766,3766,26370.492,16113.962,25027.457,27616.908,24076.373,20479.818,11723.704,24805.357,15984.016,25670.803,9741.864,13355.348,24229.312,24744.002,23109.27,24387.963,31820.629,31548.75,26432.229,40029.176,32193.201,29563.121,21824.01,31813.328,12401.952,25577.691,27000.426,24002.1,8131.4033,21200.88,23499.246,12216.943,35148.344,14707.289,18668.375,28601.246,59433.734
"164_235.108_0.677",3766,3766,3766,139269.78,139754.69,132526.42,137223.1,128557.89,100729.79,128103.77,130601.57,121088.055,125770.72,132841.44,146216.98,103436.68,135954.52,116748.19,99420.69,102584.14,111287.45,99487.18,109836.33,99156.7,140590.78,82235.21,109484.47,88824.44,91681.07,129574.336,94941.65,102345.61,126114.56,104719.17,66632.64,148480.02,141520.2,105059.72,164807.16,157517.69
"167_251.15_0.689",3766,3766,3766,561960.9,506429.78,483536.2,545666.56,468052.28,505367.1,439734.1,467781.47,423521.47,443111.47,480366.84,578362.6,538763.94,520683.12,512400.53,435446.03,886032.3,986333.94,773417.7,1177153.5,811881.25,796126.1,711621.7,912613.06,459323.84,538734.4,503883.97,500449.2,485940.66,505715.16,435043.97,474308.12,1063726,565319.9,933877.75,1199002.1,1671759.1
"169_162.066_0.694",3766,3766,3766,154875.88,158984.58,152970.95,162569.02,151986.73,185914.94,142535.52,155969.94,147994.1,147035.17,148271.28,161354.61,168552.94,145647.06,127527.58,128239.06,174336.44,183694.66,173849.95,177284.8,172517.58,182806.2,161569.75,188397.28,162607.03,157711.22,150835.11,154733.33,163824.95,143637.94,192555.19,111541.87,178563.33,158609.47,180803.33,203890.8,294376.12
"171_215.139_0.698",3766,3766,3766,699948.56,660819.7,662398.4,685759.56,653222.44,663575,605144.5,650449.94,617917.4,616663.4,655195.94,706746.3,738938.9,663883.44,806175.06,755949.3,725586,760507.9,665613.44,799803.7,672910.6,691265,618835.56,734446.5,671340.94,686421.8,658573.7,691263.75,707901.4,675793.9,722977.25,724303.1,753462.7,713554,735241.06,837742.4,1181463.4
"172_216.143_0.696",3766,3766,3766,62810.54,58734.56,58705.87,62090.152,54170.24,60972.42,56119.496,64294.938,52645.777,54628.953,58818.773,62972.816,70057.49,60883.105,74020.72,68662.914,40491.293,47754.32,61339.043,74650.47,60724.348,61310.258,62448.785,67328.03,63505.613,46867.027,52494.082,55444.87,44986.875,55438.05,69103.63,70329.4,71460.51,61265.074,62762.477,50405.15,110688.17
"176_310.114_0.7",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,22317.572,4650.8936,25662.541,3766,12122.538,30845.19,30663.434,13175.455,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,9940.67,3766,3766
"180_228.134_0.735",3766,3766,3766,1313224.6,1276181.9,1288205.5,1316359.1,1276456.4,1285508.2,1206163.6,1266998.4,1218530.9,1234563.9,1256626.6,1341920.9,1382795.2,1264416.5,1410147.6,1241463.8,1388583,1352072.2,1264573.2,1336864,1208224.6,1300268.9,1185524,1354757,1288724.8,1310425.8,1249731,1306585.6,1339941.8,1269422.5,1352258.5,1317328.9,1262752.6,1357210.2,1347220.5,1404186.4,1985203.9
"181_250.116_0.737",3766,3766,3766,335861.06,316562.44,444452.84,473234.3,442275.78,453544.6,391201.97,296356.56,410991.2,407701.3,445140.56,494702.5,383469.34,313010.84,429494.28,372437.25,328225.94,498559.5,450791.88,349805.22,446244.66,466831.47,412532.44,501639.75,493718.3,481928.84,460813.34,506943.97,376176.7,510994.44,521440.03,384372.62,473640.75,520096.66,494890.62,531142.06,774217.7
"182_212.111_0.734",3766,3766,3766,120565.484,83075.945,115945.68,122021.086,116517.58,116989.39,109814.84,115626.98,70836.75,76737.08,114101.35,121742.875,127233.05,113774.68,89568.73,74439.164,123575.35,125964.125,117514.59,123778.65,111035.664,82608.25,74214.24,123723.43,89555,119070.36,76649.27,76866.34,92236.52,71699.61,94444.59,88466.766,117334.73,83350.92,120991.32,130596.734,134427.83
"183_211.108_0.736",3766,3766,3766,1160601.8,1130958.6,1130929.5,1165461.2,1124288.6,1130474.1,1071188.6,1107818.1,1086787.4,1098110.4,1102658.2,1175770.5,1223065.2,1118414.5,1252104.6,1090273.4,1205835.6,1202170,1103784.9,1180709.4,1074897.9,1145245.9,1030203.2,1202919.2,1143653.6,1149477.8,1111161.9,1161010,1197672.9,1116501.4,1197211.2,1152433.5,1110841,1202812.4,1185215.2,1231823.2,1774736.5
"185_167.118_0.716",3766,3766,3766,9447.498,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3797.3564,11090.246,3766,3766,3766,10008.781,11760.681,51555.332,4046.028,34284.02,58592.395,48131.96,46523.004,15837.937,3766,3766,6633.429,13208.707,8367.377,27490.924,3766,26152.686,9272.809,48419.02,26798.793,45913.863
"187_239.139_0.74",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,9660.465,3766,22285.146,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,15894.677,3766,5224.9043,21450.346,29440.943
"188_176.057_0.734",3766,3766,3766,25513.248,15002.185,17656.3,18648.143,17528.826,19727.36,15085.227,10369.225,13236.627,12499.485,14594.201,18070.521,30238.9,14391.039,9574.84,3801.0776,3766,3766,5885.015,3766,4621.884,3766,5204.671,6471.3374,29928.793,23431.217,19928.656,14463.923,31466.426,19667.05,48160.137,6502.6655,3766,23313.945,5104.111,3839.8242,3766
"190_231.17_0.762",3766,3766,3766,3766,15042.017,7660.7563,14144.617,50472.72,36232.336,3766,16454.623,22121.184,9672.228,9491.589,14582.361,3766,35633.465,43630.082,38889.234,3766,3766,3766,3766,3766,3766,3766,3766,3766,12030.182,15195.684,9597.29,3766,17462.246,3766,44086.723,3766,13429.47,3766,3766,3766
"192_256.075_0.773",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4708.6543,3766,3766,6688.1045,5964.234,3766,42897.566,3766,3766,3766,3766,3766,3766
"193_188.074_0.82",3766,3766,3766,39350.51,37903.973,36413.074,39345.473,35772.035,40542.367,32901.58,35907.42,33926.066,33654.066,35335.29,40541.855,42632.84,36818.254,21504.678,27567.588,45310.887,47964.637,41510.895,50368.574,43252.83,42827.344,38692.38,44825.25,39965.05,38394.336,36847.473,38449.574,40639.426,36834.098,45464.836,23685.717,45837.53,37915.33,44562.117,54114.062,74932.88
"197_192.102_0.838",3766,3766,3766,11668.835,3766,3766,9901.971,5320.0806,5617.7026,3766,4304.695,3766,3766,5050.735,12967.305,4311.8784,8002.985,9015.569,6411.9355,137794.88,181939.4,65679.62,229704.33,93108.555,91211.086,61549.555,103081.28,3766,5733.1196,10008.76,7411.533,3766,9295.797,3766,4596.1636,163908.27,10142.042,132672.11,215060.72,265175.88
"198_191.09_0.853",3766,3766,3766,6818.313,91579.195,97105.766,52772.11,145438.22,127102.94,122960.58,119852.05,135026.17,127235.25,107413.42,28099.037,3766,54504.89,93911.484,117290.664,3766,3766,3766,3766,3766,3766,3766,3766,20196.143,54166.734,84029.07,10171.883,17910.562,23114.742,20042.47,84858.28,3766,45644.863,3766,3766,3766
"199_152.071_0.854",3766,3766,3766,30651.834,31758.701,31182.441,33967.152,33741.727,38850.066,32771.164,31882.787,31492.598,31156.375,29275.82,30716.553,31730.252,30457.947,28835.387,29502.516,28975.277,27449.709,30174.682,25954.824,27629.828,28863.86,27269.443,28527.736,29177.996,31960.332,29245.559,31391.264,33391.63,27999.395,37435.44,16347.945,18119.268,33006.395,26210.979,24982.594,45022.785
"201_190.086_0.858",3766,3766,3766,184288.36,905106.6,938261,519391.7,1302775.5,1313367.2,1241551.4,1142484.2,1212692.8,1155142.8,1079980.9,298479.4,118956.414,525046.06,904452.25,1087048.9,24694.555,38555.58,59131.203,18525.812,49884.914,58593.92,55516.223,55166.96,276948.3,523320.47,752961.44,257097.73,258907.56,375192.5,260862.97,920692.1,42375.656,437705.8,50814.137,47612.08,72610.89
"202_151.123_0.857",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,13777.317,26865.895,3766,208259.06,3766,3766,3766,5222.9023,3766,3766,3766,3766,3766,3766,3766,3766,101636.195,3766,11678.222,175699.48,184959.12
"203_176.071_0.875",3766,3766,3766,15492.447,295210.88,257760.97,143153.33,409272.9,398065.97,384748.88,315381.62,302416.22,310376.03,302334.34,42285.062,3766,158069.55,260004.22,343680.97,3766,3766,3766,3766,3766,3766,3766,3766,38115.906,150973.39,209268.2,32140.303,33240.723,100871.78,36640.617,278492,3766,120161.37,3766,3766,3766
"205_216.077_0.951",3766,3766,3766,59297.156,50577.85,52503.703,58950.844,64963.895,50319.742,41968.438,56423.574,61025.3,58422.637,46910.83,49223.992,42749.844,56449.32,45176.316,43411.97,47599.12,48978.613,38762.617,26347.844,49707.395,46908.418,43737.082,49044.473,28666.717,56789.82,61100.855,65712.7,20005.879,76001.82,24980.818,27291.162,36922.92,65354.69,53738.242,51793.617,70863.56
"207_195.113_0.888",3766,3766,3766,357189.3,342091.03,334227.16,352206.3,328892.4,345206.78,309690.28,334551.2,315868.84,322015.3,330782.4,359305.56,378959.78,337800.06,418088.25,430049.78,464805.4,552706.2,424260.66,620727.44,488119.88,441306.78,399510.72,538169.56,355257,356665.78,338022,359972.5,370680.88,347607.6,380095.88,368546,626432.75,370949.62,504141.62,633525.7,963693.7
"208_171.113_0.914",3766,3766,3766,1424387.6,1326198.4,1299048.9,1487302.9,1385593.2,1347470.5,1174302.8,1344944.6,1277703.5,1285378.1,1301677.4,1516978.4,1421407.5,1347589,1371329,1473403.9,1541991.6,1493367.5,1304529.8,1554739.2,1363982.8,1402635.8,1259821.6,1467352.1,1253945,1516569.8,1434121.2,1475640.6,1289660.1,1428736.6,1359410.6,1147569.1,1472486.8,1570764.9,1497399,1832815.8,2305786.2
"210_158.06_0.905",3766,3766,3766,8087.7886,137966.94,167478.6,67075.734,216567.47,190547.47,226688.88,182999.28,191789.73,171261.81,193419.66,36933.1,3766,69511.3,154636.55,171302.02,3766,3766,3766,3766,3766,3766,3766,3766,27393.545,73105.87,115283.836,25709.078,25447.99,38522.977,27101.604,148035.69,3766,67068.3,3766,3766,3766
"211_211.108_0.905",3766,3766,3766,192490.34,185908.31,185125.94,194723.78,189578.19,193678.11,178734.64,197617.83,185338.38,184874.84,191663.06,200001.56,224175.88,177501.5,193556.89,177342.22,214531.73,257621.4,215149.73,335366.4,227875.95,217572.02,205897.23,242763.64,194576.58,202210.64,189060.48,194813.02,205797.45,188717.92,225285.9,205942.86,305326.7,198548.8,249550.78,342118.12,468537.8
"213_228.134_0.907",3766,3766,3766,223942.14,229350.47,225061.58,229626.31,231253.7,227067.39,217321.83,223113.23,221923.78,224419.44,220249.61,229993.23,251627.23,219552.94,246354.86,209129.22,268411.56,298885.12,254941.22,372812.4,264053.25,266019.84,230374.52,287396.88,224178.69,233805.5,226831.5,230285.05,244264.14,211094.78,245994.11,239530.17,334123,241853.08,292331.28,390182.44,555472
"216_250.116_0.92",3766,3766,3766,88858.52,84299.984,83424.51,92596.95,81313.62,88182.62,75046.25,23379.62,75100.445,80760.12,85387.89,96950.836,103676.23,88105.72,82591.93,73546.28,109973.18,116636.76,96350.22,163457.36,101696.58,95433.76,91566.055,116482.96,100927.95,28082.637,88908.33,95736.57,107337.7,88947.96,109505.88,74994.65,136080.78,100121.305,115261.195,156899.31,233631.23
"217_201.123_0.947",3766,3766,3766,349551.56,308030.78,312736.12,336284.88,346448.22,308987.03,275596.1,322645.9,529325,322782.72,296795,331508.4,327261.78,328122.06,329860.88,321059.3,367171.84,396426.47,322352.12,491559.1,372868.2,641534.7,313877.56,395970.1,276733,335180.44,338195.5,394492.12,280700.53,579191.8,301371.84,274738.78,444772.78,380307.28,410037.47,529772,1379627.1
"219_212.111_0.903",3766,3766,3766,15675.435,15172.583,15076.086,3766,8330.09,4883.889,5805.492,13290.244,3766,8468.787,13189.488,9001.75,16142.63,13444.107,11618.293,7004.1235,17226.127,17851.592,17208.805,28152.324,12780.433,17322.201,14100.653,14706.941,15498.63,13777.97,13550.935,5294.64,15857.072,4346.736,3766,10485.965,27470.006,12492.228,20231.438,21189.398,49439.625
"223_216.077_0.959",3766,3766,3766,77695.19,73009.71,71876.18,79090.375,71320.484,77985.73,62364.594,70487.63,69598.78,70174.445,69240.97,76918.34,81168.66,69650.555,53462.953,45228.574,70728.64,73793.67,59645.78,83001.625,64824.27,64571.434,55476.023,69373.45,72036.13,75597.14,73718.13,78653.15,70484.43,21590.994,81893.95,47312.01,77174.52,78666.19,74573.5,89075.414,142113.67
"226_285.134_1.051",3766,3766,3766,151292.4,117213.15,116650.66,139767.56,137113.3,112598.54,95435.445,119434.61,82376.32,123927.12,108511.01,131933.89,107910.96,134349.52,113999.695,108107.984,238638.44,229099.23,177184.34,221704.23,207576.19,197375.1,186264.73,219045.81,78132.97,139497.28,140107.98,154185.02,78934.305,241575.64,75388.12,86317.625,204108.22,165371.11,228085.56,254255.28,346011.7
"227_183.113_0.937",3766,3766,3766,20583.506,17152.05,19305.8,4458.151,19621.324,31506.916,14256.039,6632.803,17585.344,18314.576,20726.773,25076.5,34933.707,27528.334,8326.676,6568.4116,67360.19,84812.25,32205.89,106522.24,73819.16,24334.656,29033.627,82097.48,10461.261,21577.453,24825.707,21567.633,18408.291,17639.172,26259.71,3766,96515.26,24709.566,84970.03,107697.41,132965.6
"229_315.239_1.05",3766,3766,3766,45430.902,46984.676,53845.086,54631.293,70487.53,43954.05,52138.98,57656.676,74984.06,77841.4,44183.19,40950.58,30624.62,46160.887,81528.72,83135.52,52494.965,40753.824,42925.31,30203.775,37136.637,43888.45,47723.3,44486.414,17064.848,48149.887,52274.934,63731.086,17472.854,142617.06,17104.92,60090.918,30219.18,55734.977,39591.33,35093.53,50182.37
"234_250.116_0.974",3766,3766,3766,51715.812,28227.26,24441.844,25321.26,36191.54,49478.64,23123.395,43094.66,23353.887,21382.191,24001.691,29575.508,74326.45,26152.018,31796.959,33278.438,30420.307,79983.984,32956.113,107701.32,32264.871,54995.504,30764.855,70713.47,28899.105,51641.605,40953.992,38093.203,31849.834,29115.232,83940.44,35671.113,96817.52,43701.117,37310.54,107612.305,163122.4
"235_171.113_1.032",3766,3766,3766,2847878.8,2747918.2,2883443.8,1358462.1,1493830.1,2914940.8,2517211,2751580.2,1372407.8,1389809.1,2836328.8,1604097.8,3040039,2709096.8,2659895.5,1353489,1331955.9,3267974.5,2784051.8,3370999.2,2869325.5,2957159,2643780.5,3138269,2840355.5,1457338.9,2812033.5,1401407.4,3173901.2,1443361.1,3224838.5,2410341.2,3155339,2941849.8,3107333.5,1856113.5,4961214
"236_315.239_1.054",3766,3766,3766,72572.23,67278.46,84273.35,83707.71,93716.09,73209.336,88871.12,84204.06,85302.51,98462.695,75917.96,70389.016,56888.492,72670.945,119625.94,103587.125,83850.17,68729.45,64054.6,55610.18,61860.566,72069.445,69860,69579.69,48681.516,66949.82,70064.984,76051.61,51647.28,88269.58,53548.74,103006.43,54583.695,83360.8,39591.33,54014.58,84585.84
"237_285.134_1.061",3766,3766,3766,261256.25,218107.64,211531.22,243930.45,212312.48,220839.8,182904.44,201347.81,180829.42,192328.23,210460.22,263024.2,238267.67,230192.34,198197.78,166192.11,414596.03,449398.66,359040.25,493639.12,380157.78,379043.34,331317.9,419370.75,195097.12,241664.92,227699.08,236823.42,205106.17,76429,185041.88,176298.38,451880.66,255164.69,431101.12,517755.56,730560.94
