"","t2_BS_C.mzML","t0_BS_C.mzML","t1_BS_C.mzML","t5_BS_C.mzML","t3_BS_3.mzML","t2_BS_2.mzML","t3_BS_C.mzML","t2_BS_1.mzML","t3_BS_2.mzML","t1_BS_1.mzML","t2_BS_3.mzML","t1_BS_3.mzML","t1_BS_2.mzML","t3_BS_1.mzML","t4_BS_C.mzML","t6_BS_C.mzML","t4_BS_2.mzML","t0_BS_3.mzML","t0_BS_2.mzML","t7_BS_C.mzML","t8_BS_C.mzML","t7_BS_2.mzML","t9_BS_C.mzML","t8_BS_1.mzML","t7_BS_3.mzML","t7_BS_1.mzML","t8_BS_2.mzML","t6_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t5_BS_3.mzML","t6_BS_2.mzML","t5_BS_1.mzML","t6_BS_3.mzML","t0_BS_1.mzML","t9_BS_1.mzML","t5_BS_2.mzML","t8_BS_3.mzML","t9_BS_3.mzML","t9_BS_2.mzML"
"7149_604.412_6.345",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,67671.74,87485.4,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,70245.81,3766,3766,3766,3766,3766
"7150_311.164_6.303",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,16574.504,3766,3766,3766,3766,3766,3766,4133.979,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"7152_1053.715_6.359",3766,3766,3766,34718.29,29940.855,26394.955,33022.234,29952.28,36193.89,23712.426,25324.752,20780.482,27784.586,23561.281,34218.715,38046.953,25848.17,30800.936,5196.078,12081.764,12255.897,13287.6,9831.563,11159.515,13740.472,11356.392,16190.834,38201.953,34966.344,28039.396,48233.133,19603,31882.67,50831.4,23733.254,9857.68,17806.096,16937.68,13596.082,18564.188
"7155_752.603_6.33",3766,40305.258,24155.15,3766,3766,3766,3766,3766,3766,17180.947,3766,27326.883,25055.775,3766,3766,3766,3766,102510.266,56076.176,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,192397.14,3766,3766,3766,3766,3766
"7161_647.341_6.344",3766,3766,3766,6410.0225,3766,3766,3766,3766,4422.306,3766,3766,3766,3766,4041.4043,3766,32464.55,3920.9028,3766,3766,4093.707,3766,9022.709,7442.1045,12416.451,3766,4606.0957,7235.82,5910.4834,4772.217,3954.8691,5071.976,7721.1787,3775.5156,3766,3766,6874.495,6325.8604,5221.573,7868.8584,9456.167
"7163_270.315_6.365",3766,3766,3766,3766,3766,18301.898,8396.193,6239.554,110203.45,39348.79,10587.204,83628.086,185920.23,3766,3766,6466.663,3766,3766,3766,126906.664,54151.516,13016.852,40276.74,90203.516,125918.64,91619.61,78116.125,3766,3766,5279.6777,3826.843,103456.664,6223.6514,4804.148,3766,15427.421,70621.93,131312.62,141817.22,67249.336
"7165_432.238_6.296",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,39383.508,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3860.5256,3766,3766,3766,3766,3766
"7166_298.347_6.341",48241.785,35774.445,128678.266,1168429,83401.734,784792.44,215022.44,246040.28,200331.95,69673.96,181653.31,508524.06,296197.75,80125.27,755251.75,1152800.5,36005.598,34096.53,14385.83,1352428,1451142.9,177186.33,1022169.44,773238.06,33028.28,974694.6,770106.75,93065.14,41693.16,53259.67,44637.25,343249.8,130321.04,3766,110354.44,19231.562,89213.52,1712185.5,437369.94,203001.34
"7171_1099.154_6.378",3766,3766,3766,29822.81,26787.875,21595.045,21545.926,22935.826,25481.201,20261.469,24214.857,17613.664,21882.209,20144.193,24069.312,26547.541,23196.463,14879.174,8134.327,13580.543,8827.967,13729.941,8755.705,12283.3,16562.174,13278.26,13752.606,27409.307,29230.701,19511.73,24850.771,24035.223,24572.975,24830.168,11217.31,9999.144,24493.191,17715.857,14625.945,12291.252
"7172_678.507_6.31",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11511.341,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,13210.593,45226.02,3766
"7177_767.481_6.36",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7889.155,3766,13204.809,4392.187,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,36269.434,3766,3766,3766,25382.918
"7178_1098.653_6.391",3766,3766,3766,25106.719,25523.639,20654.562,30818.805,20325.992,22773.422,18811.982,22880.16,15840.335,20679.223,25265.08,24989.695,25808.379,21096.56,11475.346,4903.1255,12333.798,9296.772,12542.096,8638.808,10833.334,9846.445,12038.828,12206.757,23811.057,27248.148,26720.594,9270.3125,26663.684,26654.14,18276.158,10060.416,3766,21565.773,10827.326,9636.732,11455.342
"7179_1088.164_6.375",3766,3766,3766,28573.432,29497.078,26454.584,25474.041,21370.217,28696.994,20362.473,24588.36,14715.684,25527.854,21336.035,27603.318,29301.541,24030.646,12349.192,3766,14569.014,9422.76,13613.485,8788.165,12038.684,14279.789,9224.474,14517.182,31460.871,32563.125,21479.701,34069.043,25857.832,30236.398,28198.467,5612.1885,9569.421,32815.73,17210.328,11727.541,15008.934
"7181_415.211_6.362",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,153645.08,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,20028.404,3766,3766,3766,3766,3766
"7182_1123.794_6.363",3766,3766,3766,47611.68,35436.438,38635.617,42395.062,41201.695,47102.105,50562.953,37453.445,33806.68,50939.51,36465.867,40530.664,37362.297,32682.793,70361.72,54879.742,18026.416,11697.621,14902.6455,12250.866,8822.448,15741.918,14202.782,16270.729,37178.36,38675.062,35963.38,36021.914,42349.17,36658.1,40511.285,77458.45,12744.372,34238.17,16612.857,13758.151,16398.26
